<<<<<<< HEAD
Farmer_id,Land_size(Acre),Soil_type(PH),Fertilizers_Used(kg),Seedings,Equipment_used(cost),Temperature,Transport_cost,Storage_cost,Final_oil(ltrs),Final_Crop(kg),Area
1,0.35,6.5,1.5,7,1000,30,1500,700,20,100,Raipur
2,0.25,7.03,2,10,2000,25,1500,800,25,150,Raipur
3,0.15,7.84,1.5,5,700,26,1600,900,29,160,Raipur
4,1.35,6.9,2,3,2000,28,1800,800,40,200,Raipur
5,0.25,7.62,1.2,8,1000,29,1000,800,30,150,Raipur
6,0.15,7.07,1.1,5,500,27,1000,500,45,250,Raipur
7,0.35,5.7,1.2,8,600,30,900,600,15,150,chattisgarh
8,0.25,5.71,1.5,8,500,28,800,800,15,175,chattisgarh
9,0.15,6.68,1.1,3,500,31,1000,500,20,240,chattisgarh
10,0.75,6.33,1.5,5,600,27,1500,900,28,250,chattisgarh
11,0.25,5.38,1.3,4,700,25,1500,800,25,195,chattisgarh
12,2.5,7.5,2,5,600,25,2500,1000,20,160,chattisgarh
13,0.35,5.1,1.2,6,800,26,1500,500,30,175,uttrakhand
14,1.25,6.9,1.5,7,2000,28,2000,1000,35,168,uttrakhand
15,0.15,6.9,0.7,7,500,25,1800,900,15,156,uttrakhand
16,0.35,5.9,1.8,5,650,26,2000,600,20,155,uttrakhand
17,1.25,5.8,1.9,8,2100,29,1800,500,28,200,UP
18,0.15,5.9,0.8,5,800,29,1000,800,15,150,UP
19,0.35,6,2,6,900,29,700,550,19,176,UP
=======
<<<<<<< Data
Farmer_id,Land_size(Acre),Soil_type(PH),Fertilizers_Used(kg),Seedings,Equipment_used(cost),Temperature,Transport_cost,Storage_cost,Final_oil(ltrs),Final_Crop(kg),Area,Start_Date,End_Date,Duration,Fertilizers,time before next sowing,Carbon footprint(tons)
1,0.35,6.5,1.5,7,1000,30,1500,700,20,100,Raipur,01-04-2022,02-05-2022,31,Manure,67,21
2,0.25,7.03,2,10,2000,25,1500,800,25,150,Raipur,02-04-2022,03-05-2022,31,Urea,23,67
3,0.15,7.84,1.5,5,700,26,1600,900,29,160,Raipur,03-04-2022,04-05-2022,31,Manure,45,32
4,1.35,6.9,2,3,2000,28,1800,800,40,200,Raipur,04-04-2022,05-05-2022,31,Urea,79,65
5,0.25,7.62,1.2,8,1000,29,1000,800,30,150,Raipur,05-04-2022,06-05-2022,31,Manure,35,22
6,0.15,7.07,1.1,5,500,27,1000,500,45,250,Raipur,06-04-2022,07-05-2022,31,Urea,57,66
7,0.35,5.7,1.2,8,600,30,900,600,15,150,chattisgarh,07-04-2022,08-05-2022,31,Manure,32,21
8,0.25,5.71,1.5,8,500,28,800,800,15,175,chattisgarh,08-04-2022,09-05-2022,31,Urea,57,65
9,0.15,6.68,1.1,3,500,31,1000,500,20,240,chattisgarh,09-04-2022,10-05-2022,31,Manure,45,21
10,0.75,6.33,1.5,5,600,27,1500,900,28,250,chattisgarh,10-04-2022,11-05-2022,31,Urea,32,78
11,0.25,5.38,1.3,4,700,25,1500,800,25,195,chattisgarh,11-04-2022,12-05-2022,31,Manure,67,32
12,2.5,7.5,2,5,600,25,2500,1000,20,160,chattisgarh,12-04-2022,13-05-2022,31,Urea,44,75
13,0.35,5.1,1.2,6,800,26,1500,500,30,175,uttrakhand,13-04-2022,14-05-2022,31,Manure,32,12
14,1.25,6.9,1.5,7,2000,28,2000,1000,35,168,uttrakhand,14-04-2022,15-05-2022,31,Urea,56,87
15,0.15,6.9,0.7,7,500,25,1800,900,15,156,uttrakhand,15-04-2022,16-05-2022,31,Manure,41,23
16,0.35,5.9,1.8,5,650,26,2000,600,20,155,uttrakhand,16-04-2022,17-05-2022,31,Urea,42,67
17,1.25,5.8,1.9,8,2100,29,1800,500,28,200,UP,17-04-2022,18-05-2022,31,Manure,56,23
18,0.15,5.9,0.8,5,800,29,1000,800,15,150,UP,18-04-2022,19-05-2022,31,Urea,33,67
19,0.35,6,2,6,900,29,700,550,19,176,UP,19-04-2022,20-05-2022,31,Manure,21,12
=======
